"","NO","miRBase.ID(s)","HGNC.symbol","family.No.","Chromosome","Gene.Start.(bp)","Gene.End.(bp)","Strand"
"1748",1,"hsa-mir-6859-1","MIR6859-1",6859,"1",17369,17436,-1
"752",2,"hsa-mir-1302-2","MIR1302-2",1302,"1",30366,30503,1
"1749",3,"hsa-mir-6859-2","MIR6859-2",6859,"1",187891,187958,-1
"1606",4,"hsa-mir-6723","MIR6723",6723,"1",632325,632413,-1
"166",5,"hsa-mir-200b","MIR200B",200,"1",1167104,1167198,1
"165",6,"hsa-mir-200a","MIR200A",200,"1",1167863,1167952,1
"279",7,"hsa-mir-429","MIR429",429,"1",1169005,1169087,1
"1611",8,"hsa-mir-6726","MIR6726",6726,"1",1296110,1296170,-1
"1612",9,"hsa-mir-6727","MIR6727",6727,"1",1312502,1312566,-1
"1697",10,"hsa-mir-6808","MIR6808",6808,"1",1339650,1339708,-1
"1050",11,"hsa-mir-4251","MIR4251",4251,"1",3127975,3128035,1
"467",12,"hsa-mir-551a","MIR551A",551,"1",3560695,3560790,-1
"1132",13,"hsa-mir-4417","MIR4417",4417,"1",5564071,5564143,1
"1331",14,"hsa-mir-4689","MIR4689",4689,"1",5862672,5862741,-1
"1051",15,"hsa-mir-4252","MIR4252",4252,"1",6429834,6429896,-1
"1613",16,"hsa-mir-6728","MIR6728",6728,"1",8866502,8866590,-1
"62",17,"hsa-mir-34a","MIR34A",34,"1",9151668,9151777,-1
"1522",18,"hsa-mir-5697","MIR5697",5697,"1",9967381,9967458,1
"715",19,"hsa-mir-1273d","MIR1273D",1273,"1",10227718,10227803,1
"1614",20,"hsa-mir-6729","MIR6729",6729,"1",12029158,12029222,1
"1822",21,"hsa-mir-7846","MIR7846",7846,"1",12166943,12167038,1
"1269",22,"hsa-mir-4632","MIR4632",4632,"1",12191713,12191773,1
"1615",23,"hsa-mir-6730","MIR6730",6730,"1",12578957,12579023,-1
"974",24,"hsa-mir-3675","MIR3675",3675,"1",16858949,16859021,-1
"1043",25,"hsa-mir-3972","MIR3972",3972,"1",17277889,17277975,1
"1337",26,"hsa-mir-4695","MIR4695",4695,"1",18883202,18883275,-1
"737",27,"hsa-mir-1290","MIR1290",1290,"1",18897071,18897148,-1
"1554",28,"hsa-mir-6084","MIR6084",6084,"1",20633679,20633788,1
"694",29,"hsa-mir-1256","MIR1256",1256,"1",20988314,20988432,-1
"1133",30,"hsa-mir-4418","MIR4418",4418,"1",22266239,22266300,1
"1565",31,"hsa-mir-6127","MIR6127",6127,"1",22633258,22633366,-1
"1326",32,"hsa-mir-4684","MIR4684",4684,"1",22719517,22719598,1
"1052",33,"hsa-mir-4253","MIR4253",4253,"1",22863159,22863226,-1
"814",34,"hsa-mir-3115","MIR3115",3115,"1",23044305,23044372,1
"1134",35,"hsa-mir-4419a","MIR4419A",4419,"1",23057858,23057934,-1
"259",36,"hsa-mir-378f","MIR378F",378,"1",23929070,23929147,1
"1616",37,"hsa-mir-6731","MIR6731",6731,"1",24919345,24919416,-1
"1141",38,"hsa-mir-4425","MIR4425",4425,"1",25023503,25023586,1
"1016",39,"hsa-mir-3917","MIR3917",3917,"1",25906362,25906454,-1
"791",40,"hsa-mir-1976","MIR1976",1976,"1",26554542,26554593,1
"1136",41,"hsa-mir-4420","MIR4420",4420,"1",30739156,30739232,-1
"1053",42,"hsa-mir-4254","MIR4254",4254,"1",31758660,31758735,-1
"1494",43,"hsa-mir-5585","MIR5585",5585,"1",32086949,32087007,1
"926",44,"hsa-mir-3605","MIR3605",3605,"1",33332393,33332492,-1
"469",45,"hsa-mir-552","MIR552",552,"1",34669599,34669694,-1
"1054",46,"hsa-mir-4255","MIR4255",4255,"1",37161563,37161634,1
"1617",47,"hsa-mir-6732","MIR6732",6732,"1",37480230,37480289,1
"1489",48,"hsa-mir-5581","MIR5581",5581,"1",37500935,37500994,-1
"957",49,"hsa-mir-3659","MIR3659",3659,"1",38089231,38089329,1
"57",50,"hsa-mir-30e","MIR30E",30,"1",40754355,40754446,1
"54",51,"hsa-mir-30c-1","MIR30C1",30,"1",40757284,40757372,1
"1618",52,"hsa-mir-6733","MIR6733",6733,"1",43171652,43171712,-1
"1619",53,"hsa-mir-6734","MIR6734",6734,"1",43364648,43364715,-1
"1620",54,"hsa-mir-6735","MIR6735",6735,"1",43448539,43448611,1
"1549",55,"hsa-mir-6079","MIR6079",6079,"1",43838622,43838683,1
"1493",56,"hsa-mir-5584","MIR5584",5584,"1",44545493,44545552,1
"1137",57,"hsa-mir-4421","MIR4421",4421,"1",51059837,51059905,1
"1575",58,"hsa-mir-6500","MIR6500",6500,"1",51060018,51060103,1
"595",59,"hsa-mir-761","MIR761",761,"1",51836344,51836402,-1
"717",60,"hsa-mir-1273f","MIR1273F",1273,"1",52928674,52928772,1
"1470",61,"hsa-mir-5095","MIR5095",5095,"1",52934930,52935017,1
"718",62,"hsa-mir-1273g","MIR1273G",1273,"1",52940314,52940413,1
"1425",63,"hsa-mir-4781","MIR4781",4781,"1",54054079,54054154,1
"1138",64,"hsa-mir-4422","MIR4422",4422,"1",55225641,55225723,1
"1352",65,"hsa-mir-4711","MIR4711",4711,"1",59733227,59733296,-1
"815",66,"hsa-mir-3116-1","MIR3116-1",3116,"1",62078786,62078859,1
"816",67,"hsa-mir-3116-2","MIR3116-2",3116,"1",62078789,62078856,-1
"1538",68,"hsa-mir-6068","MIR6068",6068,"1",63326925,63326984,-1
"1438",69,"hsa-mir-4794","MIR4794",4794,"1",64579847,64579923,1
"971",70,"hsa-mir-3671","MIR3671",3671,"1",65057755,65057842,-1
"75",71,"hsa-mir-101-1","MIR101-1",101,"1",65058434,65058508,-1
"817",72,"hsa-mir-3117","MIR3117",3117,"1",66628440,66628517,1
"700",73,"hsa-mir-1262","MIR1262",1262,"1",68183518,68183610,-1
"145",74,"hsa-mir-186","MIR186",186,"1",71067631,71067716,-1
"1804",75,"hsa-mir-7156","MIR7156",7156,"1",77060143,77060202,1
"1139",76,"hsa-mir-4423","MIR4423",4423,"1",85133794,85133873,1
"1832",77,"hsa-mir-7856","MIR7856",7856,"1",86357632,86357687,-1
"594",78,"hsa-mir-760","MIR760",760,"1",93846832,93846911,1
"260",79,"hsa-mir-378g","MIR378G",378,"1",94745860,94745900,-1
"808",80,"hsa-mir-2682","MIR2682",2682,"1",98045242,98045351,-1
"110",81,"hsa-mir-137","MIR137",137,"1",98046070,98046171,-1
"470",82,"hsa-mir-553","MIR553",553,"1",100281241,100281308,1
"1828",83,"hsa-mir-7852","MIR7852",7852,"1",107897223,107897304,1
"160",84,"hsa-mir-197","MIR197",197,"1",109598893,109598967,1
"1055",85,"hsa-mir-4256","MIR4256",4256,"1",112461770,112461833,-1
"395",86,"hsa-mir-548ac","MIR548AC",548,"1",116560024,116560111,-1
"207",87,"hsa-mir-320b-1","MIR320B1",320,"1",116671749,116671827,1
"636",88,"hsa-mir-942","MIR942",942,"1",117094643,117094728,1
"1621",89,"hsa-mir-6736","MIR6736",6736,"1",145850587,145850645,-1
"1462",90,"hsa-mir-5087","MIR5087",5087,"1",148334479,148334554,-1
"1547",91,"hsa-mir-6077","MIR6077",6077,"1",148388282,148388363,1
"1771",92,"hsa-mir-6878","MIR6878",6878,"1",150492345,150492410,1
"1056",93,"hsa-mir-4257","MIR4257",4257,"1",150551929,150552014,1
"471",94,"hsa-mir-554","MIR554",554,"1",151545796,151545891,1
"1873",95,"hsa-mir-8083","MIR8083",8083,"1",153689705,153689793,-1
"1622",96,"hsa-mir-6737","MIR6737",6737,"1",153962351,153962420,-1
"1523",97,"hsa-mir-5698","MIR5698",5698,"1",154104521,154104592,-1
"149",98,"hsa-mir-190b","MIR190B",190,"1",154193665,154193743,-1
"1057",99,"hsa-mir-4258","MIR4258",4258,"1",154975693,154975783,1
"67",100,"hsa-mir-92b","MIR92B",92,"1",155195177,155195272,1
"472",101,"hsa-mir-555","MIR555",555,"1",155346350,155346445,-1
"1623",102,"hsa-mir-6738","MIR6738",6738,"1",155951273,155951336,-1
"17",103,"hsa-mir-9-1","MIR9-1",9,"1",156420341,156420429,-1
"598",104,"hsa-mir-765","MIR765",765,"1",156936131,156936244,-1
"1058",105,"hsa-mir-4259","MIR4259",4259,"1",159899979,159900079,-1
"1474",106,"hsa-mir-5187","MIR5187",5187,"1",161227186,161227261,1
"1292",107,"hsa-mir-4654","MIR4654",4654,"1",162157107,162157182,1
"473",108,"hsa-mir-556","MIR556",556,"1",162342546,162342640,1
"956",109,"hsa-mir-3658","MIR3658",3658,"1",165907921,165907976,1
"620",110,"hsa-mir-921","MIR921",921,"1",166154743,166154798,-1
"693",111,"hsa-mir-1255b-2","MIR1255B2",1255,"1",167998660,167998726,1
"474",112,"hsa-mir-557","MIR557",557,"1",168375524,168375621,1
"822",113,"hsa-mir-3119-1","MIR3119-1",3119,"1",170151378,170151462,-1
"823",114,"hsa-mir-3119-2","MIR3119-2",3119,"1",170151378,170151462,1
"742",115,"hsa-mir-1295a","MIR1295A",1295,"1",171101728,171101806,-1
"743",116,"hsa-mir-1295b","MIR1295B",1295,"1",171101739,171101798,1
"179",117,"hsa-mir-214","MIR214",214,"1",172138798,172138907,-1
"824",118,"hsa-mir-3120","MIR3120",3120,"1",172138808,172138888,1
"163",119,"hsa-mir-199a-2","MIR199A2",199,"1",172144535,172144644,-1
"303",120,"hsa-mir-488","MIR488",488,"1",177029363,177029445,-1
"1140",121,"hsa-mir-4424","MIR4424",4424,"1",178677749,178677834,1
"825",122,"hsa-mir-3121","MIR3121",3121,"1",180438314,180438390,-1
"1142",123,"hsa-mir-4426","MIR4426",4426,"1",192716328,192716390,1
"723",124,"hsa-mir-1278","MIR1278",1278,"1",193136503,193136583,1
"1376",125,"hsa-mir-4735","MIR4735",4735,"1",196582413,196582481,-1
"137",126,"hsa-mir-181b-1","MIR181B1",181,"1",198858873,198858982,-1
"135",127,"hsa-mir-181a-1","MIR181A1",181,"1",198859044,198859153,-1
"1478",128,"hsa-mir-5191","MIR5191",5191,"1",201719508,201719627,1
"667",129,"hsa-mir-1231","MIR1231",1231,"1",201808611,201808702,1
"1624",130,"hsa-mir-6739","MIR6739",6739,"1",201863373,201863447,1
"1625",131,"hsa-mir-6740","MIR6740",6740,"1",202003124,202003236,1
"108",132,"hsa-mir-135b","MIR135B",135,"1",205448302,205448398,-1
"1655",133,"hsa-mir-6769b","MIR6769B",6769,"1",206474803,206474864,1
"51",134,"hsa-mir-29c","MIR29C",29,"1",207801852,207801939,-1
"50",135,"hsa-mir-29b-2","MIR29B2",29,"1",207802443,207802523,-1
"172",136,"hsa-mir-205","MIR205",205,"1",209432133,209432242,1
"1059",137,"hsa-mir-4260","MIR4260",4260,"1",209623444,209623510,-1
"826",138,"hsa-mir-3122","MIR3122",3122,"1",212077613,212077685,1
"180",139,"hsa-mir-215","MIR215",215,"1",220117853,220117962,-1
"154",140,"hsa-mir-194-1","MIR194-1",194,"1",220118157,220118241,-1
"580",141,"hsa-mir-664a","MIR664A",664,"1",220200538,220200619,-1
"208",142,"hsa-mir-320b-2","MIR320B2",320,"1",224257004,224257141,-1
"1383",143,"hsa-mir-4742","MIR4742",4742,"1",224398227,224398311,-1
"1626",144,"hsa-mir-6741","MIR6741",6741,"1",225922080,225922142,-1
"1457",145,"hsa-mir-5008","MIR5008",5008,"1",227941590,227941683,-1
"940",146,"hsa-mir-3620","MIR3620",3620,"1",228097263,228097341,1
"1627",147,"hsa-mir-6742","MIR6742",6742,"1",228397048,228397109,-1
"1306",148,"hsa-mir-4666a","MIR4666A",4666,"1",228462074,228462152,1
"643",149,"hsa-mir-1182","MIR1182",1182,"1",231019828,231019924,-1
"1143",150,"hsa-mir-4427","MIR4427",4427,"1",233624152,233624219,1
"1312",151,"hsa-mir-4671","MIR4671",4671,"1",234306467,234306539,1
"1394",152,"hsa-mir-4753","MIR4753",4753,"1",235190034,235190116,-1
"774",153,"hsa-mir-1537","MIR1537",1537,"1",235853000,235853060,-1
"1144",154,"hsa-mir-4428","MIR4428",4428,"1",237471119,237471191,1
"827",155,"hsa-mir-3123","MIR3123",3123,"1",241132272,241132346,1
"1318",156,"hsa-mir-4677","MIR4677",4677,"1",243346176,243346255,1
"1015",157,"hsa-mir-3916","MIR3916",3916,"1",247201967,247202060,-1
"828",158,"hsa-mir-3124","MIR3124",3124,"1",248826377,248826443,1
"1806",1,"hsa-mir-7158","MIR7158",7158,"2",5974662,5974732,1
"1811",2,"hsa-mir-7515","MIR7515",7515,"2",6650373,6650439,1
"1060",3,"hsa-mir-4261","MIR4261",4261,"2",10192614,10192671,-1
"1145",4,"hsa-mir-4429","MIR4429",4429,"2",11540605,11540677,-1
"452",5,"hsa-mir-548s","MIR548S",548,"2",11767444,11767525,1
"1061",6,"hsa-mir-4262","MIR4262",4262,"2",11836933,11836986,-1
"980",7,"hsa-mir-3681","MIR3681",3681,"2",12199130,12199201,1
"829",8,"hsa-mir-3125","MIR3125",3125,"2",12737367,12737444,1
"1398",9,"hsa-mir-4757","MIR4757",4757,"2",19348429,19348505,1
"748",10,"hsa-mir-1301","MIR1301",1301,"2",25328640,25328721,-1
"1062",11,"hsa-mir-4263","MIR4263",4263,"2",27996367,27996449,1
"475",12,"hsa-mir-558","MIR558",558,"2",32532153,32532246,1
"1406",13,"hsa-mir-4765","MIR4765",4765,"2",32635255,32635331,1
"1146",14,"hsa-mir-4430","MIR4430",4430,"2",33418516,33418564,1
"396",15,"hsa-mir-548ad","MIR548AD",548,"2",35471405,35471486,1
"476",16,"hsa-mir-559","MIR559",559,"2",47377675,47377770,1
"422",17,"hsa-mir-548ba","MIR548BA",548,"2",49059603,49059658,1
"1880",18,"hsa-mir-8485","MIR8485",8485,"2",50696172,50696262,-1
"1147",19,"hsa-mir-4431","MIR4431",4431,"2",52702522,52702615,-1
"981",20,"hsa-mir-3682","MIR3682",3682,"2",53849122,53849205,-1
"183",21,"hsa-mir-217","MIR217",217,"2",55982967,55983076,-1
"181",22,"hsa-mir-216a","MIR216A",216,"2",55988950,55989059,-1
"182",23,"hsa-mir-216b","MIR216B",216,"2",56000714,56000795,-1
"1148",24,"hsa-mir-4432","MIR4432",4432,"2",60387362,60387445,-1
"1479",25,"hsa-mir-5192","MIR5192",5192,"2",62205826,62205917,1
"1150",26,"hsa-mir-4433b","MIR4433B",4433,"2",64340747,64340848,-1
"1149",27,"hsa-mir-4433a","MIR4433A",4433,"2",64340759,64340839,1
"1151",28,"hsa-mir-4434","MIR4434",4434,"2",64525513,64525565,1
"1422",29,"hsa-mir-4778","MIR4778",4778,"2",66358249,66358328,-1
"830",30,"hsa-mir-3126","MIR3126",3126,"2",69103682,69103755,1
"731",31,"hsa-mir-1285-2","MIR1285-2",1285,"2",70252918,70253005,-1
"1450",32,"hsa-mir-5000","MIR5000",5000,"2",75090812,75090914,1
"1063",33,"hsa-mir-4264","MIR4264",4264,"2",79649294,79649359,-1
"1870",34,"hsa-mir-8080","MIR8080",8080,"2",79866495,79866583,-1
"1541",35,"hsa-mir-6071","MIR6071",6071,"2",85783600,85783677,-1
"1423",36,"hsa-mir-4779","MIR4779",4779,"2",86193026,86193108,-1
"1412",37,"hsa-mir-4771-1","MIR4771-1",4771,"2",87194786,87194859,1
"1152",38,"hsa-mir-4435-1","MIR4435-1",4435,"2",87629755,87629834,1
"1424",39,"hsa-mir-4780","MIR4780",4780,"2",88082519,88082599,-1
